price_id,material_id,city,price_min,price_max,price_avg,confidence_score,last_updated,source_notes
P000026,M0006,Lahore,265,323,294,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000027,M0006,Karachi,284,347,316,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000028,M0006,Islamabad,275,336,305,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000029,M0006,Rawalpindi,278,340,309,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000030,M0006,Faisalabad,254,311,282,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000031,M0007,Lahore,84.7,103.5,94.1,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000032,M0007,Karachi,90.2,110.2,100.2,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000033,M0007,Islamabad,87.4,106.8,97.1,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000034,M0007,Rawalpindi,84.9,103.7,94.3,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000035,M0007,Faisalabad,80.1,97.9,89.0,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000036,M0008,Lahore,98.6,120.5,109.6,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000037,M0008,Karachi,104.5,127.8,116.1,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000038,M0008,Islamabad,105.9,129.5,117.7,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000039,M0008,Rawalpindi,101.2,123.7,112.5,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000040,M0008,Faisalabad,95.6,116.8,106.2,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000041,M0009,Lahore,883,1080,982,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000042,M0009,Karachi,973,1189,1081,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000043,M0009,Islamabad,948,1159,1054,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000044,M0009,Rawalpindi,916,1119,1017,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000045,M0009,Faisalabad,846,1034,940,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000046,M0010,Lahore,115.2,140.8,128.0,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000047,M0010,Karachi,127.1,155.4,141.3,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000048,M0010,Islamabad,121.3,148.2,134.7,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000049,M0010,Rawalpindi,118.1,144.4,131.3,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000050,M0010,Faisalabad,106.7,130.4,118.6,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000051,M0011,Lahore,38.2,46.7,42.5,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000052,M0011,Karachi,42.0,51.3,46.7,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000053,M0011,Islamabad,40.8,49.8,45.3,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000054,M0011,Rawalpindi,40.6,49.6,45.1,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000055,M0011,Faisalabad,36.7,44.8,40.7,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000056,M0012,Lahore,1500,1833,1666,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000057,M0012,Karachi,1614,1973,1794,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000058,M0012,Islamabad,1591,1944,1768,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000059,M0012,Rawalpindi,1571,1920,1746,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000060,M0012,Faisalabad,1405,1717,1561,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000061,M0013,Lahore,1306,1596,1451,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000062,M0013,Karachi,1364,1667,1515,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000063,M0013,Islamabad,1314,1606,1460,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000064,M0013,Rawalpindi,1340,1638,1489,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000065,M0013,Faisalabad,1214,1484,1349,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000066,M0014,Lahore,83.7,102.3,93.0,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000067,M0014,Karachi,92.0,112.4,102.2,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000068,M0014,Islamabad,85.3,104.3,94.8,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000069,M0014,Rawalpindi,87.3,106.7,97.0,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000070,M0014,Faisalabad,78.7,96.2,87.5,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000071,M0015,Lahore,108.8,133.0,120.9,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000072,M0015,Karachi,112.9,138.0,125.5,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000073,M0015,Islamabad,113.8,139.1,126.5,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000074,M0015,Rawalpindi,109.6,133.9,121.7,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000075,M0015,Faisalabad,102.4,125.2,113.8,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000076,M0016,Lahore,1254,1533,1394,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000077,M0016,Karachi,1343,1642,1493,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000078,M0016,Islamabad,1324,1618,1471,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000079,M0016,Rawalpindi,1319,1612,1466,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000080,M0016,Faisalabad,1196,1461,1329,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000081,M0017,Lahore,84.0,102.7,93.4,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000082,M0017,Karachi,91.7,112.1,101.9,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000083,M0017,Islamabad,87.9,107.5,97.7,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000084,M0017,Rawalpindi,87.4,106.8,97.1,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000085,M0017,Faisalabad,82.1,100.4,91.3,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000086,M0018,Lahore,109.9,134.4,122.2,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000087,M0018,Karachi,115.8,141.5,128.6,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000088,M0018,Islamabad,114.0,139.3,126.6,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000089,M0018,Rawalpindi,109.5,133.9,121.7,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000090,M0018,Faisalabad,100.9,123.3,112.1,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000091,M0019,Lahore,269,329,299,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000092,M0019,Karachi,280,343,312,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000093,M0019,Islamabad,280,342,311,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000094,M0019,Rawalpindi,277,338,307,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000095,M0019,Faisalabad,253,309,281,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000096,M0020,Lahore,396,484,440,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000097,M0020,Karachi,416,508,462,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000098,M0020,Islamabad,413,505,459,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000099,M0020,Rawalpindi,397,486,442,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000100,M0020,Faisalabad,374,458,416,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000101,M0021,Lahore,9.33,11.41,10.37,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000102,M0021,Karachi,10.63,13.0,11.81,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000103,M0021,Islamabad,10.43,12.74,11.82,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000104,M0021,Rawalpindi,9.98,12.2,11.31,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000105,M0021,Faisalabad,9.2,11.25,10.42,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000106,M0022,Lahore,2880,3520,3200,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000107,M0022,Karachi,3247,3968,3607,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000108,M0022,Islamabad,3111,3802,3457,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000109,M0022,Rawalpindi,3110,3801,3455,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000110,M0022,Faisalabad,2807,3431,3119,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000111,M0023,Lahore,511,625,568,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000112,M0023,Karachi,557,681,619,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000113,M0023,Islamabad,514,628,571,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000114,M0023,Rawalpindi,537,656,597,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000115,M0023,Faisalabad,469,573,521,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000116,M0024,Lahore,407,497,452,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000117,M0024,Karachi,437,534,486,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000118,M0024,Islamabad,418,511,465,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000119,M0024,Rawalpindi,415,508,462,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000120,M0024,Faisalabad,380,465,423,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000121,M0025,Lahore,1201,1467,1334,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000122,M0025,Karachi,1298,1587,1443,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000123,M0025,Islamabad,1296,1584,1440,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000124,M0025,Rawalpindi,1293,1581,1437,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000125,M0025,Faisalabad,1182,1445,1314,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000126,M0026,Lahore,78.7,96.2,87.5,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000127,M0026,Karachi,89.3,109.1,99.2,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000128,M0026,Islamabad,83.7,102.3,93.0,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000129,M0026,Rawalpindi,82.7,101.1,91.9,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000130,M0026,Faisalabad,78.3,95.7,87.0,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000131,M0027,Lahore,102.6,125.4,114.0,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000132,M0027,Karachi,112.9,137.9,125.4,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000133,M0027,Islamabad,107.8,131.7,119.8,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000134,M0027,Rawalpindi,106.7,130.4,118.6,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000135,M0027,Faisalabad,98.2,120.0,109.1,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000136,M0028,Lahore,251,307,279,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000137,M0028,Karachi,277,338,307,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000138,M0028,Islamabad,262,320,291,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000139,M0028,Rawalpindi,265,324,294,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000140,M0028,Faisalabad,237,290,263,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000141,M0029,Lahore,265,324,294,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000142,M0029,Karachi,285,348,317,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000143,M0029,Islamabad,278,340,309,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000144,M0029,Rawalpindi,264,323,300,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000145,M0029,Faisalabad,250,306,278,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000146,M0030,Lahore,61.4,75.0,68.2,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000147,M0030,Karachi,67.6,82.6,75.1,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000148,M0030,Islamabad,67.2,82.2,74.7,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000149,M0030,Rawalpindi,65.0,79.4,72.2,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000150,M0030,Faisalabad,58.4,71.3,64.8,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000151,M0031,Lahore,40.3,49.3,44.8,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000152,M0031,Karachi,43.7,53.4,48.5,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000153,M0031,Islamabad,41.0,50.2,45.6,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000154,M0031,Rawalpindi,41.0,50.1,45.5,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000155,M0031,Faisalabad,38.3,46.8,43.5,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000156,M0032,Lahore,136.9,167.3,152.1,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000157,M0032,Karachi,151.2,184.8,168.0,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000158,M0032,Islamabad,147.1,179.7,163.4,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000159,M0032,Rawalpindi,143.7,175.6,159.6,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000160,M0032,Faisalabad,133.9,163.7,148.8,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000161,M0033,Lahore,1120,1369,1244,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000162,M0033,Karachi,1174,1435,1305,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000163,M0033,Islamabad,1209,1477,1343,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000164,M0033,Rawalpindi,1197,1463,1330,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000165,M0033,Faisalabad,1115,1362,1264,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000166,M0034,Lahore,18.37,22.5,20.4,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000167,M0034,Karachi,19.41,23.7,21.6,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000168,M0034,Islamabad,19.37,23.7,21.5,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000169,M0034,Rawalpindi,18.4,22.5,20.8,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000170,M0034,Faisalabad,17.42,21.3,19.75,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000171,M0035,Lahore,15.67,19.15,17.41,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000172,M0035,Karachi,16.83,20.6,18.7,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000173,M0035,Islamabad,16.0,19.55,18.13,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000174,M0035,Rawalpindi,16.15,19.73,18.3,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000175,M0035,Faisalabad,14.69,17.95,16.65,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000176,M0036,Lahore,1288,1574,1431,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000177,M0036,Karachi,1385,1693,1539,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000178,M0036,Islamabad,1341,1639,1490,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000179,M0036,Rawalpindi,1308,1599,1453,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000180,M0036,Faisalabad,1219,1489,1354,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000181,M0037,Lahore,81.4,99.5,90.4,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000182,M0037,Karachi,91.6,111.9,101.7,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000183,M0037,Islamabad,86.4,105.6,96.0,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000184,M0037,Rawalpindi,84.4,103.2,93.8,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000185,M0037,Faisalabad,79.7,97.4,88.5,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000186,M0038,Lahore,21.2,25.9,23.6,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000187,M0038,Karachi,22.9,28.0,25.5,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000188,M0038,Islamabad,23.1,28.3,25.7,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000189,M0038,Rawalpindi,22.4,27.4,24.9,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000190,M0038,Faisalabad,20.2,24.6,22.4,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000191,M0039,Lahore,23.1,28.2,25.6,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000192,M0039,Karachi,25.0,30.5,27.8,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000193,M0039,Islamabad,24.3,29.7,27.0,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000194,M0039,Rawalpindi,24.1,29.4,26.8,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000195,M0039,Faisalabad,22.2,27.1,24.7,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000196,M0040,Lahore,281,344,313,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000197,M0040,Karachi,312,381,347,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000198,M0040,Islamabad,298,364,331,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000199,M0040,Rawalpindi,286,349,318,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000200,M0040,Faisalabad,264,323,294,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000201,M0041,Lahore,96.3,117.7,107.0,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000202,M0041,Karachi,102.7,125.5,114.1,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000203,M0041,Islamabad,100.5,122.9,111.7,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000204,M0041,Rawalpindi,100.6,122.9,111.8,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000205,M0041,Faisalabad,95.8,117.1,106.5,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000206,M0042,Lahore,169.1,207,187.9,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000207,M0042,Karachi,187.0,229,208,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000208,M0042,Islamabad,178.7,218,198.6,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000209,M0042,Rawalpindi,179.6,220,199.6,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000210,M0042,Faisalabad,167.9,205,186.5,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000211,M0043,Lahore,241,295,268,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000212,M0043,Karachi,260,318,289,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000213,M0043,Islamabad,247,302,274,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000214,M0043,Rawalpindi,250,306,278,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000215,M0043,Faisalabad,234,285,259,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000216,M0044,Lahore,362,442,402,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000217,M0044,Karachi,381,465,423,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000218,M0044,Islamabad,366,448,407,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000219,M0044,Rawalpindi,361,442,402,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000220,M0044,Faisalabad,340,415,377,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000221,M0045,Lahore,51.5,63.0,57.2,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000222,M0045,Karachi,54.8,67.0,60.9,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000223,M0045,Islamabad,55.0,67.2,61.1,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000224,M0045,Rawalpindi,51.8,63.3,57.5,0.58,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000225,M0045,Faisalabad,48.1,58.8,53.5,0.55,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000226,M0046,Lahore,297,363,330,0.7,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000227,M0046,Karachi,318,389,354,0.62,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
P000228,M0046,Islamabad,316,387,351,0.6,2026-05-01,Phase-2 modeled range with city multipliers (needs supplier verification).
